size,wer,speed,quotes,nwords,class
tiny,0.0,0.8829498291015625,and sleep,2,FasterWhisper
tiny,0.0,0.8693292140960693,"sleep, thank you",3,FasterWhisper
tiny,0.0,0.6034600734710693,You go to sleep now,5,FasterWhisper
tiny,1.0,1.720750093460083,sleep,1,FasterWhisper
tiny,0.0,0.5518820285797119,go to sleep,3,FasterWhisper
tiny,0.0,0.6290619373321533,power down,2,FasterWhisper
tiny,0.0,0.6240808963775635,power off,2,FasterWhisper
tiny,0.0,0.6061728000640869,sleep for a while,4,FasterWhisper
tiny,0.0,0.662773847579956,sleep for a bit,4,FasterWhisper
tiny,1.0,0.6441171169281006,let's sleep,2,FasterWhisper
tiny,0.0,0.5847620964050293,go to power-saving mode,5,FasterWhisper
tiny,0.0,0.5734179019927979,take a nap,3,FasterWhisper
tiny,3.0,0.5978908538818359,suspend,1,FasterWhisper
tiny,0.0,0.7722702026367188,ignore my words from now on,6,FasterWhisper
tiny,0.0,0.6914150714874268,hibernate,1,FasterWhisper
tiny,0.5,0.5689828395843506,power nap,2,FasterWhisper
tiny,0.3333333333333333,0.5933492183685303,power-saving state,3,FasterWhisper
tiny,0.0,0.6546039581298828,okay thats enough now thank you,6,FasterWhisper
tiny,0.0,0.610133171081543,go to bed now,4,FasterWhisper
tiny,0.6666666666666666,0.6649339199066162,"bed time, robot",3,FasterWhisper
tiny,0.0,0.5570170879364014,time to sleep,3,FasterWhisper
tiny,0.0,0.8483676910400391,"nap time, robot",3,FasterWhisper
tiny,0.0,1.227046251296997,hibernate for now please ,4,FasterWhisper
tiny,inf,0.957097053527832,,0,FasterWhisper
tiny,0.0,1.1868178844451904,wait for a bit,4,FasterWhisper
tiny,0.3333333333333333,0.5359699726104736,wait a sec,3,FasterWhisper
tiny,1.0,0.5604350566864014,wait,1,FasterWhisper
tiny,0.0,0.5643231868743896,Wait a second,3,FasterWhisper
tiny,0.0,0.5618700981140137,wait for me,3,FasterWhisper
tiny,0.0,0.6634230613708496,let's take a break,4,FasterWhisper
tiny,0.0,0.5961692333221436,hold on a second,4,FasterWhisper
tiny,0.0,0.5528140068054199,pause for a moment,4,FasterWhisper
tiny,0.0,0.6085770130157471,stop for now,3,FasterWhisper
tiny,0.0,0.6489248275756836,let's pause here,3,FasterWhisper
tiny,0.0,0.6253957748413086,take a breather,3,FasterWhisper
tiny,0.0,1.0448200702667236,let's slow down for a bit,6,FasterWhisper
tiny,0.0,0.5588338375091553,put a pin in it,5,FasterWhisper
tiny,0.0,0.5827479362487793,let's pause and regroup,4,FasterWhisper
tiny,0.0,0.4939899444580078,hold your horses,3,FasterWhisper
tiny,0.5,0.5445451736450195,let's take a timeout,4,FasterWhisper
